rideType,displayName,currency,minCostCent,maxCostCent,journeyDuration,distanceMiles,primeTimeConfirmationToken,primeTimePercentage,currentDate
lyft_plus,Lyft Plus,USD,1200,1800,611,1.51,,0%,Thu Apr 21 00:14:06 EDT 2016
lyft_line,Lyft Line,USD,877,877,611,1.51,,0%,Thu Apr 21 00:14:06 EDT 2016
lyft,Lyft,USD,800,1300,611,1.51,,0%,Thu Apr 21 00:14:06 EDT 2016
lyft_plus,Lyft Plus,USD,1200,2000,738,2.07,,0%,Thu Apr 21 00:14:06 EDT 2016
lyft_line,Lyft Line,USD,1052,1052,738,2.07,,0%,Thu Apr 21 00:14:06 EDT 2016
lyft,Lyft,USD,800,1500,738,2.07,,0%,Thu Apr 21 00:14:06 EDT 2016
lyft_plus,Lyft Plus,USD,1200,1300,360,0.69,,0%,Thu Apr 21 00:14:29 EDT 2016
lyft_line,Lyft Line,USD,600,600,360,0.69,,0%,Thu Apr 21 00:14:29 EDT 2016
lyft,Lyft,USD,800,900,360,0.69,,0%,Thu Apr 21 00:14:29 EDT 2016
lyft_plus,Lyft Plus,USD,1400,2300,803,2.79,,0%,Thu Apr 21 00:14:29 EDT 2016
lyft_line,Lyft Line,USD,1220,1220,803,2.79,,0%,Thu Apr 21 00:14:29 EDT 2016
lyft,Lyft,USD,800,1700,803,2.79,,0%,Thu Apr 21 00:14:29 EDT 2016
lyft_plus,Lyft Plus,USD,1200,1400,448,1.07,,0%,Thu Apr 21 00:14:29 EDT 2016
lyft_line,Lyft Line,USD,705,705,448,1.07,,0%,Thu Apr 21 00:14:29 EDT 2016
lyft,Lyft,USD,800,1100,448,1.07,,0%,Thu Apr 21 00:14:29 EDT 2016
lyft_plus,Lyft Plus,USD,1200,2000,655,2.37,,0%,Thu Apr 21 00:14:29 EDT 2016
lyft_line,Lyft Line,USD,1056,1056,655,2.37,,0%,Thu Apr 21 00:14:29 EDT 2016
lyft,Lyft,USD,800,1500,655,2.37,,0%,Thu Apr 21 00:14:29 EDT 2016
lyft_plus,Lyft Plus,USD,1200,1700,527,1.45,,0%,Thu Apr 21 00:14:29 EDT 2016
lyft_line,Lyft Line,USD,821,821,527,1.45,,0%,Thu Apr 21 00:14:29 EDT 2016
lyft,Lyft,USD,800,1200,527,1.45,,0%,Thu Apr 21 00:14:29 EDT 2016
lyft_plus,Lyft Plus,USD,4400,5800,1766,9.81,,0%,Thu Apr 21 00:14:29 EDT 2016
lyft_line,Lyft Line,USD,3398,3398,1766,9.81,,0%,Thu Apr 21 00:14:29 EDT 2016
lyft,Lyft,USD,2800,4000,1766,9.81,,0%,Thu Apr 21 00:14:29 EDT 2016
lyft_plus,Lyft Plus,USD,1200,1700,583,1.31,,0%,Thu Apr 21 00:14:29 EDT 2016
lyft_line,Lyft Line,USD,825,825,583,1.31,,0%,Thu Apr 21 00:14:29 EDT 2016
lyft,Lyft,USD,800,1200,583,1.31,,0%,Thu Apr 21 00:14:29 EDT 2016
lyft_plus,Lyft Plus,USD,1400,2400,829,2.19,,0%,Thu Apr 21 00:14:29 EDT 2016
lyft_line,Lyft Line,USD,1304,1304,829,2.19,,0%,Thu Apr 21 00:14:29 EDT 2016
lyft,Lyft,USD,900,1800,829,2.19,,0%,Thu Apr 21 00:14:29 EDT 2016
lyft_plus,Lyft Plus,USD,1700,2700,1004,3.32,,0%,Thu Apr 21 00:14:29 EDT 2016
lyft_line,Lyft Line,USD,1430,1430,1004,3.32,,0%,Thu Apr 21 00:14:29 EDT 2016
lyft,Lyft,USD,1000,1900,1004,3.32,,0%,Thu Apr 21 00:14:29 EDT 2016
lyft_plus,Lyft Plus,USD,1300,2100,865,1.98,,0%,Thu Apr 21 00:14:30 EDT 2016
lyft_line,Lyft Line,USD,1111,1111,865,1.98,,0%,Thu Apr 21 00:14:30 EDT 2016
lyft,Lyft,USD,800,1500,865,1.98,,0%,Thu Apr 21 00:14:30 EDT 2016
lyft_plus,Lyft Plus,USD,1400,2400,930,2.49,,0%,Thu Apr 21 00:14:30 EDT 2016
lyft_line,Lyft Line,USD,1238,1238,930,2.49,,0%,Thu Apr 21 00:14:30 EDT 2016
lyft,Lyft,USD,800,1700,930,2.49,,0%,Thu Apr 21 00:14:30 EDT 2016
lyft_plus,Lyft Plus,USD,1200,1700,602,1.48,,0%,Thu Apr 21 00:14:30 EDT 2016
lyft_line,Lyft Line,USD,871,871,602,1.48,,0%,Thu Apr 21 00:14:30 EDT 2016
lyft,Lyft,USD,800,1300,602,1.48,,0%,Thu Apr 21 00:14:30 EDT 2016
lyft_plus,Lyft Plus,USD,2400,3400,1099,5.03,,0%,Thu Apr 21 00:14:30 EDT 2016
lyft_line,Lyft Line,USD,1924,1924,1099,5.03,,0%,Thu Apr 21 00:14:30 EDT 2016
lyft,Lyft,USD,1500,2400,1099,5.03,,0%,Thu Apr 21 00:14:30 EDT 2016
lyft_plus,Lyft Plus,USD,1200,1900,795,1.56,,0%,Thu Apr 21 00:14:30 EDT 2016
lyft_line,Lyft Line,USD,993,993,795,1.56,,0%,Thu Apr 21 00:14:30 EDT 2016
lyft,Lyft,USD,800,1400,795,1.56,,0%,Thu Apr 21 00:14:30 EDT 2016
lyft_plus,Lyft Plus,USD,2300,3400,1310,4.68,,0%,Thu Apr 21 00:14:30 EDT 2016
lyft_line,Lyft Line,USD,1852,1852,1310,4.68,,0%,Thu Apr 21 00:14:30 EDT 2016
lyft,Lyft,USD,1400,2400,1310,4.68,,0%,Thu Apr 21 00:14:30 EDT 2016
lyft_plus,Lyft Plus,USD,2000,3100,1105,4.27,,0%,Thu Apr 21 00:17:54 EDT 2016
lyft_line,Lyft Line,USD,1660,1660,1105,4.27,,0%,Thu Apr 21 00:17:54 EDT 2016
lyft,Lyft,USD,1300,2100,1105,4.27,,0%,Thu Apr 21 00:17:54 EDT 2016
lyft_plus,Lyft Plus,USD,1200,1800,687,1.49,,0%,Thu Apr 21 00:17:54 EDT 2016
lyft_line,Lyft Line,USD,918,918,687,1.49,,0%,Thu Apr 21 00:17:54 EDT 2016
lyft,Lyft,USD,800,1300,687,1.49,,0%,Thu Apr 21 00:17:54 EDT 2016
lyft_plus,Lyft Plus,USD,2400,3400,1313,4.78,,0%,Thu Apr 21 00:17:54 EDT 2016
lyft_line,Lyft Line,USD,1875,1875,1313,4.78,,0%,Thu Apr 21 00:17:54 EDT 2016
lyft,Lyft,USD,1400,2400,1313,4.78,,0%,Thu Apr 21 00:17:54 EDT 2016
lyft_plus,Lyft Plus,USD,3800,5000,1570,7.52,,0%,Thu Apr 21 00:17:54 EDT 2016
lyft_line,Lyft Line,USD,2974,2974,1570,7.52,,0%,Thu Apr 21 00:17:54 EDT 2016
lyft,Lyft,USD,2500,3500,1570,7.52,,0%,Thu Apr 21 00:17:54 EDT 2016
lyft_plus,Lyft Plus,USD,1200,1200,280,0.37,,0%,Thu Apr 21 00:19:13 EDT 2016
lyft_line,Lyft Line,USD,600,600,280,0.37,,0%,Thu Apr 21 00:19:13 EDT 2016
lyft,Lyft,USD,800,800,280,0.37,,0%,Thu Apr 21 00:19:13 EDT 2016
lyft_plus,Lyft Plus,USD,2000,3100,1092,4.32,,0%,Thu Apr 21 00:19:13 EDT 2016
lyft_line,Lyft Line,USD,1661,1661,1092,4.32,,0%,Thu Apr 21 00:19:13 EDT 2016
lyft,Lyft,USD,1300,2100,1092,4.32,,0%,Thu Apr 21 00:19:13 EDT 2016
lyft_plus,Lyft Plus,USD,3900,5000,1679,8.19,,0%,Thu Apr 21 00:19:13 EDT 2016
lyft_line,Lyft Line,USD,2927,2927,1679,8.19,,0%,Thu Apr 21 00:19:13 EDT 2016
lyft,Lyft,USD,2400,3500,1679,8.19,,0%,Thu Apr 21 00:19:13 EDT 2016
lyft_plus,Lyft Plus,USD,1200,1600,504,1.39,,0%,Thu Apr 21 00:19:13 EDT 2016
lyft_line,Lyft Line,USD,793,793,504,1.39,,0%,Thu Apr 21 00:19:13 EDT 2016
lyft,Lyft,USD,800,1100,504,1.39,,0%,Thu Apr 21 00:19:13 EDT 2016
lyft_plus,Lyft Plus,USD,1300,2200,824,2.37,,0%,Thu Apr 21 00:19:13 EDT 2016
lyft_line,Lyft Line,USD,1155,1155,824,2.37,,0%,Thu Apr 21 00:19:13 EDT 2016
lyft,Lyft,USD,800,1600,824,2.37,,0%,Thu Apr 21 00:19:13 EDT 2016
lyft_plus,Lyft Plus,USD,5000,6400,1918,11.26,,0%,Thu Apr 21 00:19:13 EDT 2016
lyft_line,Lyft Line,USD,3786,3786,1918,11.26,,0%,Thu Apr 21 00:19:13 EDT 2016
lyft,Lyft,USD,3200,4400,1918,11.26,,0%,Thu Apr 21 00:19:13 EDT 2016
lyft_plus,Lyft Plus,USD,2500,3700,1332,4.73,,0%,Thu Apr 21 00:19:14 EDT 2016
lyft_line,Lyft Line,USD,2065,2065,1332,4.73,,0%,Thu Apr 21 00:19:14 EDT 2016
lyft,Lyft,USD,1600,2600,1332,4.73,,0%,Thu Apr 21 00:19:14 EDT 2016
lyft_plus,Lyft Plus,USD,1200,1700,544,1.48,,0%,Thu Apr 21 00:19:14 EDT 2016
lyft_line,Lyft Line,USD,832,832,544,1.48,,0%,Thu Apr 21 00:19:14 EDT 2016
lyft,Lyft,USD,800,1200,544,1.48,,0%,Thu Apr 21 00:19:14 EDT 2016
lyft_plus,Lyft Plus,USD,2300,3300,1313,4.48,,0%,Thu Apr 21 00:19:14 EDT 2016
lyft_line,Lyft Line,USD,1821,1821,1313,4.48,,0%,Thu Apr 21 00:19:14 EDT 2016
lyft,Lyft,USD,1400,2300,1313,4.48,,0%,Thu Apr 21 00:19:14 EDT 2016
lyft_plus,Lyft Plus,USD,1200,1500,473,1.16,,0%,Thu Apr 21 00:19:14 EDT 2016
lyft_line,Lyft Line,USD,740,740,473,1.16,,0%,Thu Apr 21 00:19:14 EDT 2016
