vendorid,journey_start_time,journey_end_time,passenger_count,trip_distance,start_longitude,start_latitude,ratecodeid,store_and_fwd_flag,end_longitude,end_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2015-01-01 00:14:30,2015-01-01 00:20:46,1,1.16,-73.98632049560547,40.74739837646484,1,N,-73.97378540039062,40.75514984130859,2,6.5,0.5,0.5,0,0,0.3,7.8
1,2015-01-01 00:14:30,2015-01-01 00:23:55,1,4.6,-73.96194458007812,40.75952529907227,1,N,-73.98871612548828,40.71883010864258,1,14.2,0.5,0.5,0.05,0,0,15.55
1,2015-01-01 00:14:30,2015-01-01 00:21:34,1,1.4,-73.97722625732422,40.7262077331543,1,N,-73.99519348144531,40.72149276733398,2,7,0.5,0.5,0,0,0,8.300000000000001
1,2015-01-01 00:14:30,2015-01-01 00:35:14,1,4.3,-73.98629760742188,40.72248458862305,1,N,-73.99039459228516,40.7663688659668,2,17,0.5,0.5,0,0,0,18.3
1,2015-01-01 00:14:31,2015-01-01 00:29:56,2,3.7,0,0,1,N,0,0,1,14,0.5,0.5,3.05,0,0,18.35
2,2015-01-01 00:17:54,2015-01-01 00:29:54,3,3.38,-73.99227142333984,40.74990081787109,1,N,-74.00431823730469,40.70724868774414,1,12,0.5,0.5,2,0,0.3,15.3
2,2015-01-01 00:17:54,2015-01-01 00:29:00,1,1.48,-74.00019073486328,40.72544479370117,1,N,-73.99032592773438,40.71425247192383,1,8.5,0.5,0.5,2.25,0,0,11.75
2,2015-01-01 00:17:54,2015-01-01 00:38:45,1,3.7,-73.97962951660156,40.75629806518555,1,N,-74.00907897949219,40.71102523803711,2,16,0.5,0.5,0,0,0.3,17.3
2,2015-01-01 00:17:54,2015-01-01 00:38:51,1,6.15,-73.95226287841797,40.77738189697266,1,N,-73.87932586669922,40.75029373168945,2,20.5,0.5,0.5,0,0,0.3,21.8
1,2015-01-01 00:19:13,2015-01-01 00:21:29,2,0.3,-73.98502349853516,40.74360275268555,1,N,-73.97997283935547,40.74326324462891,2,3.5,0.5,0.5,0,0,0,4.8
2,2015-01-01 00:19:13,2015-01-01 00:32:21,6,3.87,-73.97875213623047,40.78332901000977,1,N,-74.006103515625,40.74118041992188,1,14,0.5,0.5,2.9,0,0.3,18.2
2,2015-01-01 00:19:13,2015-01-01 00:44:46,1,7.07,-73.9927978515625,40.74454879760742,1,N,-73.90745544433594,40.77716064453125,2,23.5,0.5,0.5,0,5.33,0.3,30.13
2,2015-01-01 00:19:13,2015-01-01 00:24:15,5,1.28,-73.95145416259766,40.77009582519531,1,N,-73.96340942382812,40.75753402709961,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2015-01-01 00:19:13,2015-01-01 00:33:20,1,2.12,-73.98255920410156,40.76668167114258,1,N,-73.95303344726562,40.7681999206543,1,11.5,0.5,0.5,1.7,0,0.3,14.5
2,2015-01-01 00:19:13,2015-01-01 00:52:24,1,13.24,-73.97654724121094,40.75424957275391,1,N,-73.83158111572266,40.76324081420898,2,40.5,0.5,0.5,0,5.33,0.3,47.13
1,2015-01-01 00:19:14,2015-01-01 00:33:28,4,3.6,-73.94911956787109,40.78163909912109,1,N,-73.98246765136719,40.73842239379883,1,13.5,0.5,0.5,2.95,0,0,17.75
1,2015-01-01 00:19:14,2015-01-01 00:24:22,2,1.4,-73.96142578125,40.77156066894531,1,N,-73.95421600341797,40.78813552856445,1,6.2,0.5,0.5,1.5,0,0,9
1,2015-01-01 00:19:14,2015-01-01 00:50:38,1,4,-73.94786071777344,40.77474212646484,1,N,-73.99256134033203,40.74871444702148,2,21,0.5,0.5,0,0,0,22.3
1,2015-01-01 00:19:14,2015-01-01 00:24:10,2,1,-73.96539306640625,40.77200317382812,1,N,-73.95162200927734,40.77454376220703,2,5.5,0.5,0.5,0,0,0,6.8
2,2015-01-01 00:19:14,2015-01-01 00:36:13,2,3.99,-73.99819946289062,40.71704864501953,1,N,-73.96528625488281,40.6740608215332,1,15.5,0.5,0.5,3.2,0,0.3,20
2,2015-01-01 00:19:14,2015-01-01 00:29:30,5,1.74,-73.98899078369141,40.74390029907227,1,N,-73.98899078369141,40.74390029907227,1,9,0.5,0.5,0,0,0.3,10.3
2,2015-01-01 00:19:14,2015-01-01 00:21:19,1,0.57,-73.98386383056641,40.73822021484375,1,N,-73.97855377197266,40.74495315551758,1,4,0.5,0.5,1,0,0.3,6.3
2,2015-01-01 00:19:14,2015-01-01 00:38:16,2,5.46,-73.98297882080078,40.73630142211914,1,N,-73.96842956542969,40.79410171508789,1,18.5,0.5,0.5,1,0,0.3,20.8
1,2015-01-01 00:19:15,2015-01-01 00:35:29,2,4.7,-74.00445556640625,40.71320724487305,1,N,-73.99844360351562,40.66017150878906,2,17.5,0.5,0.5,0,0,0,18.8
1,2015-01-01 00:19:15,2015-01-01 00:30:30,1,3.3,-73.99299621582031,40.69749069213867,1,N,-73.99324798583984,40.73008728027344,2,12,0.5,0.5,0,0,0,13.3
1,2015-01-01 00:19:15,2015-01-01 00:42:56,3,2.8,-73.97689819335938,40.75932693481445,1,N,-73.98117828369141,40.7273063659668,1,15.7,0.5,0.5,3.4,0,0,20.4
2,2015-01-01 00:19:15,2015-01-01 00:24:39,1,0.92,-73.95319366455078,40.78613662719727,1,N,-73.95907592773438,40.77511215209961,2,6,0.5,0.5,0,0,0.3,7.3
1,2015-01-01 00:19:15,2015-01-01 00:30:08,2,1.8,-73.97605895996094,40.79139709472656,1,N,-73.95716857910156,40.77510833740234,2,9.5,0.5,0.5,0,0,0,10.8
1,2015-01-01 00:19:15,2015-01-01 00:36:47,1,6.1,-73.98885345458984,40.72201538085938,1,N,-73.95088195800781,40.77777481079102,2,20,0.5,0.5,0,0,0,21.3
2,2015-01-01 00:19:15,2015-01-01 00:36:47,1,3.43,-73.98651123046875,40.73788833618164,1,N,-73.95475769042969,40.77829742431641,2,14,0.5,0.5,0,0,0.3,15.3
1,2015-01-01 00:19:16,2015-01-01 00:32:02,2,1.7,-73.98713684082031,40.72929000854492,1,N,-73.98963928222656,40.74737548828125,2,9.5,0.5,0.5,0,0,0,10.8
2,2015-01-01 00:20:54,2015-01-01 00:38:46,1,3.41,-74.00575256347656,40.70923614501953,1,N,-73.98497009277344,40.74460220336914,2,14.5,0.5,0.5,0,0,0.3,15.8
2,2015-01-01 00:20:54,2015-01-01 00:28:29,4,1.48,-73.96559906005859,40.77470016479492,1,N,-73.97505187988281,40.77748107910156,1,7.5,0.5,0.5,2.4,0,0.3,11.2
2,2015-01-01 00:20:54,2015-01-01 00:34:03,1,1.86,-74.00357055664062,40.72268676757812,1,N,-73.98077392578125,40.7338981628418,1,10.5,0.5,0.5,2.75,0,0.3,14.55
1,2015-01-01 00:20:54,2015-01-01 00:51:23,2,16.4,-73.98178863525391,40.74057388305664,1,N,-74.0394287109375,40.61841583251953,1,45.2,0.5,0.5,10,5.33,0,61.83
1,2015-01-01 00:20:54,2015-01-01 00:27:31,1,1.8,-73.94703674316406,40.7718391418457,1,N,-73.96950531005859,40.78543090820312,1,7.2,0.5,0.5,3,0,0,11.5
1,2015-01-01 00:20:54,2015-01-01 00:26:31,1,1.4,-73.97996520996094,40.74848937988281,1,N,-73.96299743652344,40.75754928588867,2,6.5,0.5,0.5,0,0,0,7.8
1,2015-01-01 00:20:54,2015-01-01 00:37:01,1,2.8,-74.00276184082031,40.7518424987793,1,N,-73.99256896972656,40.72453689575195,1,12.7,0.5,0.5,2.8,0,0,16.8
1,2015-01-01 00:20:54,2015-01-01 00:30:52,2,1.6,-73.98827362060547,40.74993133544922,1,N,-73.98432159423828,40.73318481445312,2,8,0.5,0.5,0,0,0,9.300000000000001
2,2015-01-01 00:27:24,2015-01-01 00:48:15,1,6.18,-74.00469207763672,40.71895980834961,1,N,-73.94996643066406,40.77295684814453,2,21.5,0.5,0.5,0,0,0.3,22.8
2,2015-01-01 00:27:24,2015-01-01 00:40:18,1,2.91,-73.97885131835938,40.7522087097168,1,N,-73.97885131835938,40.7522087097168,1,11.5,0.5,0.5,5,0,0.3,17.8
2,2015-01-01 00:27:24,2015-01-01 00:31:05,1,0.8100000000000001,-73.94876861572266,40.78406143188477,1,N,-73.94671630859375,40.79167175292969,2,5,0.5,0.5,0,0,0.3,6.3
2,2015-01-01 00:27:24,2015-01-01 00:57:53,1,3.87,-73.97056579589844,40.78382110595703,1,N,-73.9854736328125,40.73845291137695,2,21,0.5,0.5,0,0,0.3,22.3
1,2015-01-01 00:27:24,2015-01-01 00:47:06,1,0.9,-73.99462890625,40.75014114379883,1,N,-73.98785400390625,40.74811172485352,1,12.5,0.5,0.5,0,0,0,13.8
2,2015-01-01 00:27:25,2015-01-01 00:38:29,2,2.49,-73.94915008544922,40.78094100952148,1,N,-73.97831726074219,40.76425933837891,1,10.5,0.5,0.5,2.2,0,0.3,14
2,2015-01-01 00:27:25,2015-01-01 00:36:34,2,3.01,-74.00609588623047,40.71206283569336,1,N,-74.00570678710938,40.74842834472656,1,10.5,0.5,0.5,2.2,0,0.3,14
2,2015-01-01 00:27:25,2015-01-01 00:34:55,6,1.01,-73.99604034423828,40.72529602050781,1,N,-73.97984313964844,40.72266387939453,1,7,0.5,0.5,2.25,0,0.3,10.55
2,2015-01-01 00:27:25,2015-01-01 00:56:00,4,4.93,-74.00403594970703,40.73821258544922,1,N,-73.95473480224609,40.78247833251953,1,21.5,0.5,0.5,4.4,0,0.3,27.2
2,2015-01-01 00:27:25,2015-01-01 00:34:37,2,0.83,-74.00154876708984,40.73931121826172,1,N,-73.99019622802734,40.73309326171875,2,6.5,0.5,0.5,0,0,0.3,7.8
2,2015-01-01 00:27:25,2015-01-01 00:42:24,1,4,-73.95648193359375,40.74758911132812,1,N,-73.97575378417969,40.76103973388672,2,14.5,0.5,0.5,0,0,0.3,15.8
2,2015-01-01 00:27:25,2015-01-01 00:46:55,2,7.2,-73.97530364990234,40.74959945678711,1,N,-73.95163726806641,40.82247924804688,1,22.5,0.5,0.5,0,0,0.3,23.8
1,2015-01-01 00:27:25,2015-01-01 00:54:47,4,0,-73.97242736816406,40.75494003295898,1,N,-73.94166564941406,40.82999038696289,2,22.5,0.5,0.5,0,0,0,23.8
1,2015-01-01 00:27:25,2015-01-01 00:29:23,1,0.4,-73.96988677978516,40.75727462768555,1,N,-73.96609497070312,40.76211547851562,2,3.5,0.5,0.5,0,0,0,4.8
1,2015-01-01 00:27:25,2015-01-01 00:42:50,1,2.9,-73.98741149902344,40.73824310302734,1,N,-73.95918273925781,40.77059936523438,2,12.5,0.5,0.5,0,0,0,13.8
1,2015-01-01 00:27:26,2015-01-01 00:40:46,4,1.7,-73.98159027099609,40.7364616394043,1,N,-73.99144744873047,40.7501335144043,2,10,0.5,0.5,0,0,0,11.3
1,2015-01-01 00:27:26,2015-01-01 00:36:46,3,1.6,-74.00205230712891,40.73380279541016,1,N,-74.00008392333984,40.71647262573242,1,7.7,0.5,0.5,1.8,0,0,10.8
1,2015-01-01 00:27:26,2015-01-01 00:42:57,1,2.5,-74.00424194335938,40.73114013671875,1,N,-73.97917175292969,40.74613952636719,1,11.7,0.5,0.5,2.6,0,0,15.6
1,2015-01-01 00:27:26,2015-01-01 00:34:34,1,1.4,-73.97766876220703,40.78610610961914,1,N,-73.96192169189453,40.77720642089844,2,7,0.5,0.5,0,0,0,8.300000000000001
1,2015-01-01 00:27:26,2015-01-01 00:35:48,2,1.4,-74.00012969970703,40.72859954833984,1,N,-73.98644256591797,40.73926544189453,1,7.5,0.5,0.5,1.75,0,0,10.55
2,2015-01-01 00:27:26,2015-01-01 00:39:47,3,2.73,-73.96893310546875,40.75737380981445,1,N,-73.97795867919922,40.78308868408203,2,11.5,0.5,0.5,0,0,0.3,12.8
2,2015-01-01 00:27:26,2015-01-01 00:29:42,1,1,-73.94932556152344,40.77692794799805,1,N,-73.94114685058594,40.78826904296875,1,4.5,0.5,0.5,1.25,0,0.3,7.05
2,2015-01-01 00:28:22,2015-01-01 00:41:31,1,1.11,-73.99217224121094,40.74744033813477,1,N,-73.98031616210938,40.74247360229492,1,9.5,0.5,0.5,2,0,0.3,12.8
2,2015-01-01 00:28:22,2015-01-01 00:42:39,1,2.98,-73.95901489257812,40.77156829833984,1,N,-73.98229217529297,40.73614501953125,1,12.5,0.5,0.5,2.6,0,0.3,16.4
2,2015-01-01 00:28:23,2015-01-01 00:38:23,5,1.89,-73.97984313964844,40.74334716796875,1,N,-73.9605712890625,40.76160049438477,2,9,0.5,0.5,0,0,0.3,10.3
2,2015-01-01 00:28:23,2015-01-01 00:29:40,1,0.5600000000000001,-73.96368408203125,40.7656135559082,1,N,-73.95874786376953,40.77237319946289,2,3.5,0.5,0.5,0,0,0.3,4.8
2,2015-01-01 00:28:23,2015-01-01 00:40:06,2,2.26,-73.99027252197266,40.76809310913086,1,N,-73.99688720703125,40.75042343139648,1,10.5,0.5,0.5,3.3,0,0.3,15.1
2,2015-01-01 00:28:23,2015-01-01 00:50:08,1,3.52,-73.99178314208984,40.75025177001953,1,N,-73.95550537109375,40.77653121948242,1,16.5,0.5,0.5,0,0,0.3,17.8
1,2015-01-01 00:28:23,2015-01-01 00:40:58,1,3.5,0,0,1,N,0,0,1,12.2,0.5,0.5,2.7,0,0,16.2
1,2015-01-01 00:28:23,2015-01-01 01:03:32,4,7,-74.00241851806641,40.73974227905273,1,N,-73.97632598876953,40.66686630249023,2,27.5,0.5,0.5,0,0,0,28.8
1,2015-01-01 00:28:23,2015-01-01 00:36:14,4,1.8,-74.00205230712891,40.72299575805664,1,N,-74.01775360107422,40.70970916748047,2,8,0.5,0.5,0,0,0,9.300000000000001
1,2015-01-01 00:28:23,2015-01-01 01:02:44,1,3.3,-73.9649658203125,40.75994491577148,1,N,-74.00401306152344,40.75302505493164,2,21.5,0.5,0.5,0,0,0,22.8
1,2015-01-01 00:28:23,2015-01-01 00:42:52,1,2.3,-74.00661468505859,40.73174667358398,1,N,-73.97995758056641,40.73237228393555,2,11,0.5,0.5,0,0,0,12.3
2,2015-01-01 00:28:24,2015-01-01 00:40:28,2,2.13,-73.99338531494141,40.72457504272461,1,N,-73.97882080078125,40.75054550170898,1,10.5,0.5,0.5,2.2,0,0.3,14
2,2015-01-01 00:28:24,2015-01-01 00:32:06,1,0.95,-73.98036956787109,40.72702789306641,1,N,-73.98902130126953,40.73421859741211,1,5,0.5,0.5,1.1,0,0.3,7.4
2,2015-01-01 00:28:24,2015-01-01 00:48:52,3,4.4,-73.97937774658203,40.75494766235352,1,N,-73.94393157958984,40.72220993041992,2,18,0.5,0.5,0,5.33,0.3,24.63
2,2015-01-01 00:28:24,2015-01-01 00:31:44,2,0.63,-73.96497344970703,40.75923156738281,1,N,-73.95922088623047,40.76420593261719,1,4.5,0.5,0.5,1,0,0.3,6.8
1,2015-01-01 00:28:24,2015-01-01 00:57:45,3,7.6,-73.98230743408203,40.77272796630859,1,N,-74.00767517089844,40.71148681640625,1,26.7,0.5,0.5,1,0,0,29
1,2015-01-01 00:28:24,2015-01-01 00:41:09,2,2.3,-73.96211242675781,40.76680755615234,1,N,-73.95432281494141,40.78554153442383,2,11,0.5,0.5,0,0,0,12.3
1,2015-01-01 00:28:24,2015-01-01 00:34:25,2,0.5,-73.97789001464844,40.7529182434082,1,N,-73.97379302978516,40.75545120239258,2,5.5,0.5,0.5,0,0,0,6.8
1,2015-01-01 00:28:25,2015-01-01 00:38:17,4,4,-73.95912170410156,40.76337051391602,1,N,-73.98265075683594,40.71626663208008,2,13.5,0.5,0.5,0,0,0,14.8
1,2015-01-01 00:28:25,2015-01-01 00:54:59,1,8.300000000000001,-73.99737548828125,40.72723007202148,1,N,-73.96475982666016,40.80869674682617,1,27,0.5,0.5,5.65,0,0,33.95
1,2015-01-01 00:28:25,2015-01-01 00:33:08,1,0.9,-73.97177886962891,40.76308059692383,1,N,-73.95957946777344,40.767578125,2,5.5,0.5,0.5,0,0,0,6.8
1,2015-01-01 00:28:25,2015-01-01 00:39:55,2,2.1,-73.95670318603516,40.78078460693359,1,N,-73.96138000488281,40.75655364990234,2,10,0.5,0.5,0,0,0,11.3
2,2015-01-01 00:28:41,2015-01-01 00:32:06,1,0.72,-73.96599578857422,40.76274871826172,1,N,-73.9608154296875,40.76742553710938,1,4.5,0.5,0.5,1,0,0.3,6.8
1,2015-01-01 00:28:42,2015-01-01 00:35:34,1,1.2,-73.95894622802734,40.78361511230469,1,N,-73.94542694091797,40.77360153198242,1,7,0.5,0.5,1,0,0,9.300000000000001
2,2015-01-01 00:30:32,2015-01-01 00:37:54,1,2.12,-73.99398040771484,40.72106170654297,1,N,-73.95807647705078,40.71089935302734,1,9.5,0.5,0.5,2,0,0.3,12.8
